datetime,t2m,u10m,v10m,sp
2019/09/01 18:48:38,273.6601,-2.6251438,-7.6824846,101107.914
2019/09/01 19:48:38,273.65277,-2.650908,-7.580009,101115.04
2019/09/01 20:48:38,273.89203,-2.3287365,-7.412437,101071.945
2019/09/01 21:48:38,273.59628,-2.8595808,-8.064114,101122.945
2019/09/01 22:48:38,273.63397,-3.0486846,-7.998179,101115.39
2019/09/01 23:48:38,273.65152,-3.0542426,-8.029987,101097.28
2019/09/02 00:48:38,273.6358,-3.4594383,-8.230715,101079.18
2019/09/02 01:48:38,273.5895,-3.60915,-8.222526,101036.93
2019/09/02 02:48:38,272.95425,-4.307222,-8.53861,101062.77
2019/09/02 03:48:38,272.9022,-4.367498,-8.474412,101048.81
2019/09/02 04:48:38,272.86838,-4.538973,-8.582691,101065.45
2019/09/02 05:48:38,272.8465,-4.66013,-8.933027,101048.9
2019/09/02 06:48:38,273.44995,-5.863961,-8.744792,101008.66
2019/09/02 07:48:38,273.55893,-5.875604,-8.6700115,100981.445
2019/09/02 08:48:38,273.97928,-6.395991,-8.642134,100962.68
2019/09/02 09:48:38,276.2001,-7.8873487,-7.6191573,100802.7
2019/09/02 10:48:38,276.94626,-8.485434,-7.2762628,100769.125
2019/09/02 11:48:38,277.3438,-8.2606125,-7.362254,100717.086
2019/09/02 12:48:38,277.56335,-7.8067636,-6.768082,100657.34
2019/09/02 13:48:38,277.6809,-6.970432,-5.9642725,100691.92
2019/09/02 14:48:38,277.8498,-5.4838967,-5.267998,100688.625
2019/09/02 15:48:38,278.1326,-3.2221684,-3.6077385,100543.57
2019/09/02 16:48:38,278.2819,-2.45738,-2.5860348,100510.625
2019/09/02 17:48:38,278.39124,-2.0995073,-2.1256728,100495.19
2019/09/02 18:48:38,278.98233,-1.9582669,-0.91344154,100509.9
2019/09/02 19:48:38,279.03958,-0.4335753,-0.39044863,100645.89
2019/09/02 20:48:38,278.738,-0.1488724,-0.13776939,100530.664
2019/09/02 21:48:38,278.1196,-0.5736474,0.36984897,99912.76
2019/09/02 22:48:38,278.0588,-0.4051618,0.027845116,99888.77
2019/09/02 23:48:38,278.08524,-0.20722798,-0.8276958,99884.125
2019/09/03 00:48:38,278.0763,-0.36652485,-1.6316924,99829.55
2019/09/03 01:48:38,278.64468,-0.2810607,-2.1702435,100424.41
2019/09/03 02:48:38,278.58197,-3.0702336,-0.7493627,100289.945
2019/09/03 03:48:38,278.44623,-3.650944,0.006186998,100290.93
2019/09/03 04:48:38,278.21597,-4.0484147,0.39474878,100282.64
2019/09/03 05:48:38,278.04837,-4.046991,0.6294637,100273.52
2019/09/03 06:48:38,278.2387,-3.558616,1.1110625,100194.74
2019/09/03 07:48:38,278.75836,-2.378443,-0.45055097,100338.03
2019/09/03 08:48:38,278.71967,-1.7404485,-0.5002301,100302.984
2019/09/03 09:48:38,278.65277,-1.2878158,-1.2120608,100269.26
2019/09/03 10:48:38,278.54004,-1.4780246,-2.0567534,100249.19
2019/09/03 11:48:38,278.4222,-1.8033912,-1.1600279,100253.086
2019/09/03 12:48:38,278.12244,-1.5819136,-4.2075343,100147.78
2019/09/03 13:48:38,277.82785,-1.9341724,-5.1874456,100106.68
2019/09/03 14:48:38,277.48502,-2.5569594,-6.0805254,100032.125
2019/09/03 15:48:38,277.15198,-3.41656,-7.0896907,99936.42
2019/09/03 16:48:38,276.848,-4.8852925,-8.100287,99898.61
2019/09/03 17:48:38,275.6487,-9.099064,-10.324779,100026.77
2019/09/03 18:48:38,275.40704,-8.875151,-11.767796,99897.82
2019/09/03 19:48:38,275.23444,-9.141325,-12.350682,99895.81
2019/09/03 20:48:38,275.04675,-8.720834,-12.420761,99859.4
2019/09/03 21:48:38,274.7912,-7.9197936,-12.599581,99902.5
2019/09/03 22:48:38,273.89276,-6.6914115,-12.441634,100044.18
2019/09/03 23:48:38,273.74255,-5.810161,-12.740027,100080.32
2019/09/04 00:48:38,273.57986,-4.908454,-12.961135,100062.07
2019/09/04 01:48:38,272.7846,-3.5501611,-12.659582,100139.05
2019/09/04 02:48:38,272.6937,-2.8990648,-12.294805,100122.086
2019/09/04 03:48:38,273.11258,-2.4159274,-12.199941,100066.52
2019/09/04 04:48:38,273.19424,-2.1690328,-12.039986,100075.695
2019/09/04 05:48:38,273.36032,-1.9321641,-11.979867,100092.05
2019/09/04 06:48:38,273.83118,-1.5863289,-11.921784,100133.195
2019/09/04 07:48:38,274.04437,-1.3046371,-11.459692,100167.41
2019/09/04 08:48:38,274.06583,-0.856922,-11.236941,100188.01
2019/09/04 09:48:38,273.73444,-0.119105004,-10.849657,100222.45
2019/09/04 10:48:38,273.22568,0.40775493,-10.543406,100240.6
2019/09/04 11:48:38,272.76172,0.50683075,-10.205424,100282.2
2019/09/04 12:48:38,272.65128,0.22917281,-9.874123,100304.3
2019/09/04 13:48:38,272.46927,0.2023223,-9.474187,100318.89
2019/09/04 14:48:38,272.34662,0.23994593,-9.066843,100364.664
2019/09/04 15:48:38,272.23868,0.4228098,-8.531738,100366.05
2019/09/04 16:48:38,272.17557,0.7205307,-8.174102,100411.74
2019/09/04 17:48:38,272.13065,1.1017221,-7.9078126,100430.3
