datetime,ci,sstk,istl1,tcc,skt
2019/09/01 19:48:38,0.18261701,272.44485,272.412 ,1.0,272.43427
2019/09/01 20:48:38,0.02835571,271.94037, 271.5935 ,1.0,271.93127
2019/09/01 21:48:38,0.19325209,272.31168, 272.17813 ,1.0,272.27863
2019/09/01 22:48:38,0.20388715,272.1785, 272.13406 ,1.0,272.16562
2019/09/01 23:48:38,0.1439118,272.09116, 271.8836 ,1.0,272.07947
2019/09/02 00:48:38,0.10925391,272.0823, 271.7472 ,1.0,272.06497
2019/09/02 01:48:38,0.0130564915,272.0749, 271.49292 ,1.0,272.07083
2019/09/02 02:48:38,0.14244126,272.22232, 271.7528 ,1.0,272.17606
2019/09/02 03:48:38,0.0984779,272.27402, 271.6216 ,1.0,272.2236
2019/09/02 04:48:38,0.0984779,272.27402, 271.58246 ,1.0,272.20883
2019/09/02 05:48:38,0.0984779,272.27402, 271.5443 ,1.0,272.1954
2019/09/02 06:48:38,0.040425897,272.51453, 271.52917 ,0.99986064,272.47565
2019/09/02 07:48:38,0.0,273.0615, 271.45984 ,1.0,273.04144
2019/09/02 08:48:38,0.0,274.5187, 271.45978 ,1.0,274.4951
2019/09/02 09:48:38,0.0,276.3927, 271.46008 ,1.0,276.36942
2019/09/02 10:48:38,0.0,277.70648, 271.45996 ,1.0,277.666
2019/09/02 11:48:38,0.0,278.74298, 271.46002 ,0.8553088,278.67297
2019/09/02 12:48:38,0.0,279.44037, 271.45978 ,0.4769909,279.34628
2019/09/02 13:48:38,0.0,279.3601, 271.4599 ,0.7419593,279.24542
2019/09/02 14:48:38,0.0,279.4221, 271.46 ,0.97927374,279.29544
2019/09/02 15:48:38,0.0,279.51575, 271.4599 ,0.9610632,279.34967
2019/09/02 16:48:38,0.0,279.5332, 271.46002 ,1.0,279.32324
2019/09/02 17:48:38,0.0,279.5332, 271.45984 ,0.999465,279.31366
2019/09/02 18:48:38,0.0,279.5332, 271.45993 ,1.0,279.36404
2019/09/02 19:48:38,0.0,279.42383, 271.4602 ,1.0,279.20932
2019/09/02 20:48:38,0.0,278.73203, 271.45978 ,1.0,278.5432
2019/09/02 21:48:38,0.0,278.08603, 271.45978 ,1.0,277.90573
2019/09/02 22:48:38,0.0,278.08603, 271.46005 ,1.0,277.9054
2019/09/02 23:48:38,0.0,278.08603, 271.45993 ,1.0,277.9355
2019/09/03 00:48:38,0.0,278.08603, 271.4602 ,1.0,277.97778
2019/09/03 01:48:38,0.0,278.73203, 271.4601 ,0.9917969,278.6383
2019/09/03 02:48:38,0.0,278.89243, 271.46014 ,0.99628603,278.80212
2019/09/03 03:48:38,0.0,278.89243, 271.45987 ,0.9975253,278.80304
2019/09/03 04:48:38,0.0,278.89243, 271.4599 ,0.9974526,278.8024
2019/09/03 05:48:38,0.0,278.89243, 271.46008 ,0.99876076,278.79575
2019/09/03 06:48:38,0.0,279.04727, 271.4602 ,1.0,278.95453
2019/09/03 07:48:38,0.0,279.85602, 271.45993 ,0.98824334,279.74084
2019/09/03 08:48:38,0.0,279.85602, 271.46014 ,0.9995235,279.7442
2019/09/03 09:48:38,0.0,279.85602, 271.4602 ,0.99953,279.73618
2019/09/03 10:48:38,0.0,279.85446, 271.45996 ,1.0,279.735
2019/09/03 11:48:38,0.0,279.70016, 271.45993 ,1.0,279.55453
2019/09/03 12:48:38,0.0,279.85446, 271.45987 ,1.0,279.7501
2019/09/03 13:48:38,0.0,279.85446, 271.46048 ,1.0,279.74918
2019/09/03 14:48:38,0.0,279.85446, 271.45987 ,1.0,279.74084
2019/09/03 15:48:38,0.0,279.85446, 271.4602 ,1.0,279.7445
2019/09/03 16:48:38,0.0,279.85446, 271.46014 ,1.0,279.74115
