datetime,ist
2019/09/01 19:48:38,nan
2019/09/01 20:48:38,nan
2019/09/01 21:48:38,nan
2019/09/01 22:48:38,nan
2019/09/01 23:48:38,nan
2019/09/02 00:48:38,nan
2019/09/02 01:48:38,nan
2019/09/02 02:48:38,263.1328125
2019/09/02 03:48:38,nan
2019/09/02 04:48:38,nan
2019/09/02 05:48:38,nan
2019/09/02 06:48:38,nan
2019/09/02 07:48:38,nan
2019/09/02 08:48:38,nan
2019/09/02 09:48:38,nan
2019/09/02 10:48:38,nan
2019/09/02 11:48:38,nan
2019/09/02 12:48:38,nan
2019/09/02 13:48:38,nan
2019/09/02 14:48:38,nan
2019/09/02 15:48:38,nan
2019/09/02 16:48:38,nan
2019/09/02 17:48:38,nan
2019/09/02 18:48:38,nan
2019/09/02 19:48:38,nan
2019/09/02 20:48:38,nan
2019/09/02 21:48:38,nan
2019/09/02 22:48:38,nan
2019/09/02 23:48:38,nan
2019/09/03 00:48:38,nan
2019/09/03 01:48:38,nan
2019/09/03 02:48:38,257.080078125
2019/09/03 03:48:38,256.1376953125
2019/09/03 04:48:38,262.806640625
2019/09/03 05:48:38,nan
2019/09/03 06:48:38,nan
2019/09/03 07:48:38,nan
2019/09/03 08:48:38,nan
2019/09/03 09:48:38,nan
2019/09/03 10:48:38,261.8125
2019/09/03 11:48:38,nan
2019/09/03 12:48:38,264.0732421875
2019/09/03 13:48:38,nan
2019/09/03 14:48:38,nan
2019/09/03 15:48:38,nan
2019/09/03 16:48:38,nan
2019/09/03 17:48:38,nan
2019/09/03 18:48:38,nan
2019/09/03 19:48:38,nan
2019/09/03 20:48:38,nan
2019/09/03 21:48:38,nan
2019/09/03 22:48:38,nan
2019/09/03 23:48:38,nan
2019/09/04 00:48:38,nan
2019/09/04 01:48:38,263.6025390625
2019/09/04 02:48:38,nan
2019/09/04 03:48:38,nan
2019/09/04 04:48:38,262.6103515625
2019/09/04 05:48:38,261.345703125
2019/09/04 06:48:38,nan
2019/09/04 07:48:38,nan
2019/09/04 08:48:38,261.294921875
2019/09/04 09:48:38,nan
2019/09/04 10:48:38,nan
2019/09/04 11:48:38,nan
2019/09/04 12:48:38,nan
2019/09/04 13:48:38,nan
2019/09/04 14:48:38,nan
2019/09/04 15:48:38,nan
2019/09/04 16:48:38,nan
2019/09/04 17:48:38,259.5126953125
2019/09/04 18:48:38,nan
2019/09/04 19:48:38,nan
2019/09/04 20:48:38,nan
2019/09/04 21:48:38,262.98046875
2019/09/04 22:48:38,nan
2019/09/04 23:48:38,nan
2019/09/05 00:48:38,263.0546875
2019/09/05 01:48:38,nan
2019/09/05 02:48:38,nan
2019/09/05 03:48:38,nan
