datetime,ssrd,strd,ssru,stru,t2m,u10m,v10m,sp,tcc,skt,istl,sstk,ci,hice,fice,hsnow,ist
2019-10-09 00:00:00,0.0,998123.7,3.5999996e-12,-41164.01,267.25327,-0.305764,-5.168292,100578.85,1.0,267.13007,[267.22293],271.46045,0.9866682,0.36290931701660156,0.9859445095062256,0.06670641899108887,
2019-10-09 01:00:00,0.0,991629.25,3.5999996e-12,-46267.168,267.14352,-0.115246505,-4.8261533,100627.94,1.0,267.01987,[267.1307],271.46045,0.9866682,0.36290931701660156,0.9859445095062256,0.06670641899108887,
2019-10-09 02:00:00,0.0,997502.25,3.5999996e-12,-39343.223,267.02652,0.16076146,-4.7874827,100657.1,0.992337,266.9639,[267.06784],271.46045,0.9866682,0.400146484375,0.9919421076774597,0.07828950881958008,
2019-10-09 03:00:00,0.0,977942.1,3.5999996e-12,-56399.055,266.83755,0.186341,-4.879522,100703.266,0.98757625,266.75714,[266.91077],271.46045,0.9866682,0.3818330764770508,0.992171049118042,0.07824373245239258,
2019-10-09 04:00:00,0.0,968127.7,3.5999996e-12,-63058.645,266.61414,0.15915638,-4.9195485,100711.22,0.99765325,266.55115,[266.73587],271.46045,0.9866682,0.3818330764770508,0.992171049118042,0.07824373245239258,261.068359375
2019-10-09 05:00:00,0.0,956506.75,3.5999996e-12,-71082.54,266.36096,0.22561668,-5.021177,100729.914,1.0,266.30942,[266.53143],271.46045,0.9866682,0.3818330764770508,0.992171049118042,0.07824373245239258,
2019-10-09 06:00:00,0.0,940954.1,3.5999996e-12,-82340.58,266.06134,0.303629,-5.1350565,100750.48,1.0,266.01843,[266.28726],271.46045,0.9866682,0.3818330764770508,0.992171049118042,0.07824373245239258,259.7919921875
2019-10-09 07:00:00,0.0,984723.1,3.5999996e-12,-38481.79,265.91644,0.13224503,-4.5368557,100767.586,1.0,266.03152,[266.2606],271.45996,0.99518335,0.3818330764770508,0.992171049118042,0.07824373245239258,256.3701171875
2019-10-09 08:00:00,0.0,977711.25,3.5999996e-12,-43217.793,265.78085,0.16087705,-4.333984,100808.46,1.0,265.91388,[266.16248],271.45996,0.99518335,0.3818330764770508,0.992171049118042,0.07824373245239258,
2019-10-09 09:00:00,0.0,966598.7,3.5999996e-12,-51938.96,265.62393,0.24861868,-4.0069723,100796.95,1.0,265.744,[266.0183],271.45996,0.99518335,0.3818330764770508,0.992171049118042,0.07824373245239258,251.3701171875
2019-10-09 10:00:00,0.0,966595.3,3.5999996e-12,-49936.96,265.5074,0.5249906,-3.8357255,100817.8,1.0,265.63528,[265.90472],271.45996,0.99518335,0.3818330764770508,0.992171049118042,0.07824373245239258,
2019-10-09 11:00:00,0.0,965387.7,3.5999996e-12,-49503.65,265.38248,0.6020789,-3.6671844,100818.484,1.0,265.53116,[265.80057],271.45996,0.99518335,0.3818330764770508,0.992171049118042,0.07824373245239258,
2019-10-09 12:00:00,0.0,950595.5,3.5999996e-12,-61773.805,265.2529,0.51682866,-3.4442937,100835.055,1.0,265.35345,[265.64874],271.45996,0.99518335,0.4099140167236328,0.9934224486351013,0.08341729640960693,
2019-10-09 13:00:00,0.0,935016.6,3.5999996e-12,-74268.26,265.09088,0.3475624,-3.0572522,100830.305,1.0,265.1509,[265.4731],271.45996,0.99518335,0.4099140167236328,0.9934224486351013,0.08341729640960693,
2019-10-09 14:00:00,0.0,915670.8,3.5999996e-12,-89901.36,264.9176,0.24270126,-2.7188458,100822.26,0.99699736,264.9034,[265.2621],271.45996,0.99518335,0.3909902572631836,0.9935445785522461,0.08282208442687988,
2019-10-09 15:00:00,0.0,909471.25,3.5999996e-12,-92896.04,264.7642,-0.082012795,-2.524376,100823.04,1.0,264.71652,[265.08328],271.45996,0.99518335,0.3909902572631836,0.9935445785522461,0.08282208442687988,
2019-10-09 16:00:00,0.0,924736.4,3.5999996e-12,-76510.07,264.6983,-0.4333981,-2.424901,100830.94,1.0,264.69855,[265.01944],271.45996,0.99518335,0.3909902572631836,0.9935445785522461,0.08282208442687988,250.3125
2019-10-09 17:00:00,0.0,917905.5,3.5999996e-12,-82038.46,264.6005,-1.0372869,-2.2244773,100815.6,1.0,264.58572,[264.91647],271.45996,0.99518335,0.3909902572631836,0.9935445785522461,0.08282208442687988,
2019-10-09 18:00:00,0.0,918614.2,3.5999996e-12,-79963.42,264.52716,-1.8371048,-1.8964983,100795.09,1.0,264.50903,[264.8281],271.45996,0.99507487,0.3909902572631836,0.9935445785522461,0.08282208442687988,251.2001953125
2019-10-09 19:00:00,0.0,933408.44,3.5999996e-12,-64264.58,264.00757,-3.1528232,-0.5212415,100722.53,1.0,264.2977,[264.6536],271.45996,0.99507487,0.3909902572631836,0.9935445785522461,0.08282208442687988,256.3603515625
2019-10-09 20:00:00,0.0,935705.06,3.5999996e-12,-59038.92,264.1217,-3.854753,-0.38653567,100729.09,0.99742633,264.24164,[264.57062],271.45996,0.99507487,0.3909902572631836,0.9935445785522461,0.08282208442687988,
2019-10-09 21:00:00,0.0,932035.3,3.5999996e-12,-61708.152,264.17383,-4.3152623,-0.4211727,100754.25,1.0,264.18787,[264.50323],271.45996,0.99507487,0.3909902572631836,0.9935445785522461,0.08282208442687988,255.998046875
2019-10-09 22:00:00,0.0,931969.75,3.5999996e-12,-61266.43,264.1886,-4.571117,-0.7907141,100776.5,0.9948605,264.1704,[264.46585],271.45996,0.99507487,0.3909902572631836,0.9935445785522461,0.08282208442687988,
2019-10-09 23:00:00,0.0,919023.9,3.5999996e-12,-73079.72,264.1381,-5.022473,-1.4952636,100823.72,0.9916581,264.0723,[264.38382],271.45996,0.99507487,0.3775606155395508,0.9934834837913513,0.08181488513946533,256.560546875
2019-10-10 00:00:00,0.0,896493.44,3.5999996e-12,-92963.13,263.9417,-5.6476808,-2.1475265,100859.51,0.99550164,263.85886,[264.22037],271.45996,0.99507487,0.3775606155395508,0.9934834837913513,0.08181488513946533,254.8564453125
2019-10-10 01:00:00,0.0,901855.3,3.5999996e-12,-85491.59,263.71838,-6.199453,-2.3884883,100924.1,0.9980753,263.73065,[264.09583],271.45996,0.99507487,0.3775606155395508,0.9934834837913513,0.08181488513946533,
2019-10-10 02:00:00,0.0,900525.3,3.5999996e-12,-84544.86,263.47086,-6.5095143,-2.5389326,100985.31,0.9929929,263.54947,[263.9416],271.45996,0.9949664,0.3775606155395508,0.9934834837913513,0.08181488513946533,259.009765625
2019-10-10 03:00:00,0.0,909715.3,3.5999996e-12,-73143.2,263.23495,-6.4423246,-2.68751,101058.42,1.0,263.39688,[263.79816],271.45996,0.9949664,0.3705406188964844,0.9933766722679138,0.08030402660369873,255.3515625
2019-10-10 04:00:00,0.0,931034.94,3.5999996e-12,-50539.582,263.02762,-6.165838,-2.8924916,101118.45,1.0,263.31265,[263.70117],271.45996,0.9949664,0.3705406188964844,0.9933766722679138,0.08030402660369873,255.6640625
2019-10-10 05:00:00,0.0,912135.75,3.5999996e-12,-66219.49,262.78372,-5.688659,-2.9856417,101171.25,1.0,263.05115,[263.4925],271.45996,0.9949664,0.3705406188964844,0.9933766722679138,0.08030402660369873,253.6748046875
2019-10-10 06:00:00,0.0,903366.06,3.5999996e-12,-71360.586,262.5851,-5.277128,-3.0256844,101257.266,1.0,262.8287,[263.28906],271.45996,0.9949664,0.3705406188964844,0.9933766722679138,0.08030402660369873,256.4873046875
2019-10-10 07:00:00,0.0,876036.0,3.5999996e-12,-97371.875,262.74017,-4.7459526,-2.7555692,101240.81,0.99185914,262.7164,[263.18625],271.45996,1.0,0.3705406188964844,0.9933766722679138,0.08030402660369873,
2019-10-10 08:00:00,0.0,872838.7,3.5999996e-12,-97115.18,262.57214,-3.8886385,-2.9144533,101320.33,0.9905697,262.58508,[263.0635],271.45996,1.0,0.3705406188964844,0.9933766722679138,0.08030402660369873,255.58984375
2019-10-10 09:00:00,0.0,873294.44,3.5999996e-12,-94917.11,262.42352,-3.2678387,-3.140571,101370.14,0.9798559,262.4746,[262.9511],271.45996,1.0,0.36718273162841797,0.9933003187179565,0.07828950881958008,
2019-10-10 10:00:00,0.0,881519.5,3.5999996e-12,-85879.38,262.33023,-2.6137214,-3.272474,101427.914,0.98593384,262.4386,[262.89127],271.45996,1.0,0.36718273162841797,0.9933003187179565,0.07828950881958008,258.16015625
2019-10-10 11:00:00,0.0,884901.25,3.5999996e-12,-81830.17,262.2495,-1.9400123,-3.3294318,101483.266,0.9649233,262.3955,[262.8345],271.45996,1.0,0.36718273162841797,0.9933003187179565,0.07828950881958008,257.2626953125
2019-10-10 12:00:00,0.0,876159.6,3.5999996e-12,-89173.82,262.13406,-1.2429874,-3.3662114,101510.66,0.96908295,262.27402,[262.73154],271.45996,1.0,0.3729820251464844,0.992979884147644,0.08231854438781738,
2019-10-10 13:00:00,0.0,840277.75,3.5999996e-12,-121051.57,261.92166,-0.3199312,-3.1851635,101558.22,0.93812937,261.94522,[262.48395],271.45996,1.0,0.3729820251464844,0.992979884147644,0.08231854438781738,
