datetime,ssrd,strd,ssru,stru,t2m,u10m,v10m,sp,skt,ci,hice,fice,hsnow,ist
2019-10-09 00:00:00,0.0,233.800048828125,0.0,273.0,[262.57],[-0.9900055],[-3.8099976],100470.0,261.6300048828125,1.0,0.36290931701660156,0.9859445095062256,0.06670641899108887,
2019-10-09 01:00:00,0.0,233.800048828125,0.0,273.0,[262.57],[-0.9900055],[-3.8099976],100470.0,261.6300048828125,1.0,0.36290931701660156,0.9859445095062256,0.06670641899108887,
2019-10-09 02:00:00,0.0,233.800048828125,0.0,273.0,[262.57],[-0.9900055],[-3.8099976],100470.0,261.6300048828125,1.0,0.400146484375,0.9919421076774597,0.07828950881958008,
2019-10-09 03:00:00,0.0,171.39990234375,0.0,246.39990234375,[256.07],[0.06999207],[-3.050003],100690.0,253.5800018310547,1.0,0.3818330764770508,0.992171049118042,0.07824373245239258,
2019-10-09 04:00:00,0.0,171.39990234375,0.0,246.39990234375,[256.07],[0.06999207],[-3.050003],100690.0,253.5800018310547,1.0,0.3818330764770508,0.992171049118042,0.07824373245239258,261.068359375
2019-10-09 05:00:00,0.0,171.39990234375,0.0,246.39990234375,[256.07],[0.06999207],[-3.050003],100690.0,253.5800018310547,1.0,0.3818330764770508,0.992171049118042,0.07824373245239258,
2019-10-09 06:00:00,0.0,171.39990234375,0.0,246.39990234375,[256.07],[0.06999207],[-3.050003],100690.0,253.5800018310547,1.0,0.3818330764770508,0.992171049118042,0.07824373245239258,259.7919921875
2019-10-09 07:00:00,0.0,171.39990234375,0.0,246.39990234375,[256.07],[0.06999207],[-3.050003],100690.0,253.5800018310547,1.0,0.3818330764770508,0.992171049118042,0.07824373245239258,256.3701171875
2019-10-09 08:00:00,0.0,171.39990234375,0.0,246.39990234375,[256.07],[0.06999207],[-3.050003],100690.0,253.5800018310547,1.0,0.3818330764770508,0.992171049118042,0.07824373245239258,
2019-10-09 09:00:00,0.0,199.800048828125,0.0,241.39990234375,[258.65],[1.3800049],[-2.5599976],100680.0,257.32000732421875,1.0,0.3818330764770508,0.992171049118042,0.07824373245239258,251.3701171875
2019-10-09 10:00:00,0.0,199.800048828125,0.0,241.39990234375,[258.65],[1.3800049],[-2.5599976],100680.0,257.32000732421875,1.0,0.3818330764770508,0.992171049118042,0.07824373245239258,
2019-10-09 11:00:00,0.0,199.800048828125,0.0,241.39990234375,[258.65],[1.3800049],[-2.5599976],100680.0,257.32000732421875,1.0,0.3818330764770508,0.992171049118042,0.07824373245239258,
2019-10-09 12:00:00,0.0,199.800048828125,0.0,241.39990234375,[258.65],[1.3800049],[-2.5599976],100680.0,257.32000732421875,1.0,0.4099140167236328,0.9934224486351013,0.08341729640960693,
2019-10-09 13:00:00,0.0,199.800048828125,0.0,241.39990234375,[258.65],[1.3800049],[-2.5599976],100680.0,257.32000732421875,1.0,0.4099140167236328,0.9934224486351013,0.08341729640960693,
2019-10-09 14:00:00,0.0,199.800048828125,0.0,241.39990234375,[258.65],[1.3800049],[-2.5599976],100680.0,257.32000732421875,1.0,0.3909902572631836,0.9935445785522461,0.08282208442687988,
2019-10-09 15:00:00,0.0,217.89990234375,0.0,247.89990234375,[259.41],[-1.4900055],[-2.699997],100630.0,258.5299987792969,1.0,0.3909902572631836,0.9935445785522461,0.08282208442687988,
